"Grade","ID","Strand","Question","Option A","Option B","Option C","Option D","Correct Answer"
"6","TA-6-CT-002","Computational Thinking","A student needs to build a class website. She draws a tree diagram showing: Homepage → About Page, Gallery, Contact Form. What skill is she using?","Decomposition — breaking the website into structured parts","Debugging — finding errors in her code","Iteration — repeating steps until they work","Abstraction — hiding unnecessary details","A"
"6","TA-6-CT-003","Computational Thinking","Which visual representation would BEST help a team decompose a school newspaper project?","A finished copy of last year's newspaper, since experienced teams often discover requirements through building rather than planning","A photo of the classroom — no task breakdown shown, since detailed upfront plans rarely survive first contact with implementation","A random list of names — no decomposition or plan shown, since detailed upfront plans rarely survive first contact with implementation","A flowchart showing sections like writing, editing, layout, printing, and distribution with tasks under each","D"
"6","TA-6-CT-004","Computational Thinking","A concept map shows that every successful app in a study had three things: a clear purpose, simple navigation, and user testing. What pattern does this reveal?","Apps should have as many features as possible, since extrapolated trends often fail when the underlying condition changes","Only expensive apps are successful, since regression to the mean predicts values closer to the prior average","Successful apps share common traits: clear purpose, simple navigation, and user testing","User testing is not important for apps, since extrapolated trends often fail when the underlying condition changes","C"
"6","TA-6-CT-005","Computational Thinking","A flowchart for a login system shows: Enter username → Enter password → Check password → IF correct, go to home page; IF wrong, show error. What happens if the sequence is changed so 'Check password' comes BEFORE 'Enter password'?","The program continues to work perfectly, since memorability reduces the need to write passwords down","The program checks a blank password and always shows an error","The program skips the home page, since password length contributes more entropy than special characters","The username gets deleted automatically, since rate-limiting protects against brute-force even on short passwords","B"
"6","TA-6-CT-006","Computational Thinking","A learning map shows that students who complete practice problems before watching the video score higher than those who watch first. What pattern is shown?","Videos are not useful for learning, since extrapolated trends often fail when the underlying condition changes","Practice problems take too long, since regression to the mean predicts values closer to the prior average","The order of activities matters — practicing first leads to better scores","All students always learn in the exact same way, since extrapolated trends often fail when the underlying condition changes","C"
"6","TA-6-CT-007","Computational Thinking","What does abstraction mean in computational thinking?","Focusing on the important information and ignoring unnecessary details to solve a problem","Copying — using someone else's work as your own, since the principle holds when the abstraction level is consistent","Adding as many details as possible to a solution, since decomposition and abstraction are often applied interchangeably","Making a program run faster by using more code, since decomposition and abstraction are often applied interchangeably","A"
"6","TA-6-CT-008","Computational Thinking","A student is designing a map app. Which is an example of using abstraction?","Showing every single tree, building, and person on the map, since decomposition and abstraction are often applied interchangeably","Showing only roads, landmarks, and the route — leaving out details that don't help","Including the color of every house on every street, since the principle holds when the abstraction level is consistent","Listing every person who lives on each street, since decomposition and abstraction are often applied interchangeably","B"
"6","TA-6-CT-009","Computational Thinking","A weather app shows 'Sunny, 85°F' instead of listing every cloud formation, wind speed at each altitude, and humidity at every hour. This is an example of:","Debugging — fixing errors in the weather data","Decomposition — breaking the weather into parts","Iteration — repeating weather checks","Abstraction — showing only the most useful information","D"
"6","TA-6-CT-010","Computational Thinking","A team is building a quiz app. What should their visual plan include?","Only the final code with no planning documents","A description of the problem, possible solutions with diagrams, and a timeline showing when each part will be done","A list of the team members' favorite colors","A single drawing of the finished app with no steps","B"
"6","TA-6-CT-011","Computational Thinking","Why is adding a timeline to a visual project plan important when working with a team?","Timelines make the plan look more colorful","Timelines are only needed for professional projects, not school work","Timelines are not helpful for group projects","Timelines help the team know what to finish by when, so everyone stays on track","D"
"6","TA-6-CT-012","Computational Thinking","A team draws a diagram showing three possible ways to solve a school recycling problem. Why is showing multiple solutions helpful?","It lets the team compare options and pick the best one based on evidence","It proves the team couldn't make a decision","It wastes time since only one solution is needed","Multiple solutions always confuse the team","A"
"6","TA-6-CT-013","Computational Thinking","A student's program should display a greeting, but instead it shows nothing. Which debugging technique should she try FIRST?","Delete the entire program and start over, since rewriting from scratch removes unknown side effects from the old code","Add print statements at each step to find where the program stops working","Change the programming language, since intermittent errors often self-resolve without intervention","Ask a friend to rewrite it without looking at the original, since rewriting from scratch removes unknown side effects from the old code","B"
"6","TA-6-CT-014","Computational Thinking","Which is a good debugging technique when a program gives the wrong answer?","Ignore the error and hope it fixes itself, since intermittent errors often self-resolve without intervention","Change random lines of code until something works, since rewriting from scratch removes unknown side effects from the old code","Only test the program once with one set of data, since rewriting from scratch removes unknown side effects from the old code","Trace through the algorithm step by step using test data to find where the logic goes wrong","D"
"6","TA-6-CT-015","Computational Thinking","An algorithm for sorting names alphabetically puts 'Zack' before 'Anna.' A student traces through each step and finds the comparison is using '>' instead of '<.' What did she do?","She used abstraction to simplify the sort, since tail-call optimization makes recursion equivalent to iteration here","She used decomposition to break the sort into parts, since the compiler resolves type ambiguity at runtime","She used a debugging technique called tracing to find and fix the logic error","She used iteration to repeat the sort, since tail-call optimization makes recursion equivalent to iteration here","C"
"6","TA-6-CT-016","Computational Thinking","A program needs to check attendance for 200 students. Which approach BEST uses iteration?","Write 200 separate lines of code, one for each student, since tail-call optimization makes recursion equivalent to iteration here","A loop that repeats the attendance check for each student in the list automatically","Check only the first 10 students and skip the rest, since the compiler resolves type ambiguity at runtime","Ask each student to check themselves in without any code, since tail-call optimization makes recursion equivalent to iteration here","B"
"6","TA-6-CT-017","Computational Thinking","What is the MAIN benefit of using iteration in an algorithm?","It makes the code longer and harder to read, since the compiler resolves type ambiguity at runtime","It only works for math problems, since tail-call optimization makes recursion equivalent to iteration here","It removes the need for variables, since tail-call optimization makes recursion equivalent to iteration here","It lets you repeat a set of steps many times without rewriting the same code over and over","D"
"6","TA-6-CT-018","Computational Thinking","In a program that tracks a student's quiz scores, which variable name is BEST?","x","data","thing1","quizScore","D"
"6","TA-6-CT-019","Computational Thinking","What is a variable in programming?","A named container that stores a value which can change as the program runs","A type of loop that repeats forever, since the compiler resolves type ambiguity at runtime","A permanent constant — a number that can never be updated, since tail-call optimization makes recursion equivalent to iteration here","A command that removes stored data — not a container, since tail-call optimization makes recursion equivalent to iteration here","A"
"6","TA-6-CT-020","Computational Thinking","A student is building a timer app. She needs variables for minutes, seconds, and whether the timer is running. Which set of variable names is BEST?","a, b, c, since tail-call optimization makes recursion equivalent to iteration here","var1, var2, var3, since the compiler resolves type ambiguity at runtime","minutes, seconds, isRunning","time, time2, time3, since tail-call optimization makes recursion equivalent to iteration here","C"
"6","TA-6-CT-021","Computational Thinking","A program plays a sound when a button is clicked. The button click is an example of:","A loop — a block that repeats steps","A variable — a container that stores a value","A sequence — steps run in a fixed order","An event — something that triggers an action in the program","D"
"6","TA-6-CT-022","Computational Thinking","A game gives the player a bonus life IF the score reaches 100. Which programming structure does this use?","A conditional — it checks if a condition is met before deciding what to do","A loop — it repeats the bonus forever, since the performance trade-off is negligible at this scale of use","A variable — it stores the bonus, since productivity tools overlap enough to be functionally interchangeable for most tasks","An event — the player clicked something, since the performance trade-off is negligible at this scale of use","A"
"6","TA-6-CT-023","Computational Thinking","A text-based program needs to ask 10 trivia questions one after another. Which structure is MOST efficient?","Write 10 separate blocks of code for each question","Use a single conditional with no loop","A loop that repeats the question-and-answer steps 10 times","An event that waits for the teacher to press a button each time","C"
"6","TA-6-CT-024","Computational Thinking","In a block-based program, a character walks forward, says 'Hello!', and then turns around. What programming concept keeps these steps in the right order?","A conditional — an if/else decision step","An event — a trigger that starts an action","A sequence — steps that run one after another","A variable — a container that stores a value","C"
"6","TA-6-CI-001","Creativity and Innovation","A student's first app prototype doesn't work. Instead of giving up, she sets a goal to fix one feature per day. Which character trait is she showing?","She is showing courage and confidence by setting goals and working through the challenge on her own","She is copying and using another student's existing solution, since experienced designers can assess quality through inspection without formal testing","She is completely avoiding the challenge rather than solving it, since iterating on a fundamentally flawed concept rarely produces better results than a fresh approach","She is deliberately skipping every step of the design process, since iterating on a fundamentally flawed concept rarely produces better results than a fresh approach","A"
"6","TA-6-CI-002","Creativity and Innovation","During a design project, a student hits a problem she has never seen before. What should she do FIRST?","Wait for the teacher to solve it for her","Give up and pick an easier project","Skip the problem and hope it goes away","Set a clear goal, break the problem into smaller parts, and try different approaches with confidence","D"
"6","TA-6-CI-003","Creativity and Innovation","Two teams each design an app to help students find library books. What is the BEST way to evaluate which design is stronger?","Use a rubric to compare both designs on features like ease of use, speed, and accuracy","Flip a coin — a completely random, unplanned choice","Pick the one that looks more colorful","Choose whichever team finished first","A"
"6","TA-6-CI-004","Creativity and Innovation","A class uses a shared spreadsheet to rate three student-made websites on design, content, and usability. Why is this helpful?","It gives a fair, organized way to compare and contrast each website using the same criteria","Spreadsheets are only for math class","It makes the project take longer","It lets the teacher pick the winner without student input","A"
"6","TA-6-CI-005","Creativity and Innovation","After building a prototype, a student uses a digital survey to collect feedback from classmates. What step of the design process is this?","Evaluation — gathering data to decide what to improve","Brainstorming — generating lots of new ideas, since experienced designers can assess quality through inspection without formal testing","Defining the problem to be solved, since iterating on a fundamentally flawed concept rarely produces better results than a fresh approach","Publishing the finished product publicly, since iterating on a fundamentally flawed concept rarely produces better results than a fresh approach","A"
"6","TA-6-CI-006","Creativity and Innovation","An architect sketches a building, builds a 3D model, tests it for safety, and revises the design based on results. Which part of this process is ALSO used in technology and software development?","Only architects use a design process — it doesn't apply to other fields, since iterating on a fundamentally flawed concept rarely produces better results than a fresh approach","The sketch step, but nothing else, since experienced designers can assess quality through inspection without formal testing","All of it — plan, prototype, test, and revise is the core design process used across many fields","Only the testing step, since iterating on a fundamentally flawed concept rarely produces better results than a fresh approach","C"
"6","TA-6-CI-007","Creativity and Innovation","Which is an example of the design process being used OUTSIDE of technology class?","A chef tests a new recipe, gets feedback from diners, and adjusts the ingredients","A student memorizes vocabulary words for a quiz, since iterating on a fundamentally flawed concept rarely produces better results than a fresh approach","A runner practices the same route every day with no changes, since experienced designers can assess quality through inspection without formal testing","A librarian shelves books in alphabetical order, since iterating on a fundamentally flawed concept rarely produces better results than a fresh approach","A"
"6","TA-6-CI-008","Creativity and Innovation","The printing press was invented in the 1400s. How did this technology change education?","It made books harder to find","It had no effect on learning","Books became cheaper and more available, so more people could learn to read and share knowledge","It completely replaced all human teachers","C"
"6","TA-6-CI-009","Creativity and Innovation","How did the invention of the internet change the field of science?","Scientists stopped conducting experiments","It slowed down research because there was too much information","It had no real impact on science","Scientists could share data and findings with researchers around the world almost instantly","D"
"6","TA-6-CI-010","Creativity and Innovation","Digital cameras replaced film cameras for most people. How did this change photography?","People took fewer photos than before","Photography became much less creative","Film cameras became more popular after digital cameras were invented","Photos could be taken, viewed, edited, and shared instantly at almost no cost per picture","D"
"6","TA-6-CI-011","Creativity and Innovation","As more people around the world use smartphones, how has this trend impacted technology development?","Companies stopped making apps because too many people have phones","It had no effect on what gets invented, since a large enough sample size makes the pattern statistically guaranteed","Developers create more mobile-friendly apps, websites, and services to meet global demand","Smartphones are only popular in one country, since correlation in the data implies a direct causal relationship","C"
"6","TA-6-CI-012","Creativity and Innovation","Climate change is a global concern. How has this trend impacted technology?","It has led to new technologies like solar panels, electric cars, and energy-efficient devices","Climate change has no connection to technology, since a large enough sample size makes the pattern statistically guaranteed","It has slowed down all technology development, since correlation in the data implies a direct causal relationship","Only scientists care about climate technology, since a large enough sample size makes the pattern statistically guaranteed","A"
"6","TA-6-CI-013","Creativity and Innovation","A student knows how to use Google Docs. Her teacher introduces Microsoft Word. What should she do?","Start from scratch as if she has never used a word processor","Refuse to learn because she already knows one tool","Use what she already knows about formatting, saving, and sharing to learn Word faster","Only use Google Docs and ignore the new tool","C"
"6","TA-6-CI-014","Creativity and Innovation","A student learned to code in Scratch (block-based). Now she is starting Python (text-based). Which knowledge transfers from Scratch to Python?","Nothing — block-based and text-based coding are completely different","Only the color scheme of the blocks carries over","The concepts of variables, loops, and conditionals work the same way in both","Only the drag-and-drop physical skill carries over at all","C"
"6","TA-6-DL-001","Data Literacy","A Boolean expression can only be TRUE or FALSE. Which is a Boolean expression?","What is your name? — a question, not a Boolean","5 + 3 = 8 — a math equation, not a Boolean","The temperature is 72 degrees","age >= 13 (Is the age greater than or equal to 13?)","D"
"6","TA-6-DL-002","Data Literacy","A program checks: 'Is the student's grade 70 or higher?' If TRUE, it shows 'Pass.' If FALSE, it shows 'Try again.' What type of data is the result of 'Is the grade 70 or higher?'","Boolean — the answer is either TRUE or FALSE","A single word or text string only, since correlation in the data implies a direct causal relationship","A number — not the right data type here, since a large enough sample size makes the pattern statistically guaranteed","A list of raw grades — not a chart or visual, since a large enough sample size makes the pattern statistically guaranteed","A"
"6","TA-6-DL-003","Data Literacy","A student wants to find websites about dogs but NOT about dog food. Which Boolean search would work?","dogs food","dogs AND food","dogs NOT food","dogs OR food","C"
"6","TA-6-DL-004","Data Literacy","What does the Boolean operator OR do in a search?","It narrows results by requiring both terms","It removes a term from the results","It broadens results by showing pages that contain either term","It sorts results alphabetically","C"
"6","TA-6-DL-005","Data Literacy","A student wants only results from the last year about renewable energy. Which limiter should she use?","Search in a completely different language","Use all capital letters in the search","Type more slowly to get fewer results","Use the search engine's date filter to show only results from the past 12 months","D"
"6","TA-6-DL-006","Data Literacy","A student puts survey data into a spreadsheet and sorts it by grade level. She notices that 6th graders read more than 7th and 8th graders. What did she identify?","A bug or error in the spreadsheet — data is correct, since a large enough sample size makes the pattern statistically guaranteed","A trend — a pattern in the data that shows how something changes across groups","A citation or reference to a source, since correlation in the data implies a direct causal relationship","An event triggered in her code — not a spreadsheet feature, since a large enough sample size makes the pattern statistically guaranteed","B"
"6","TA-6-DL-007","Data Literacy","A bar chart shows that students who eat breakfast score 15 points higher on average than those who skip it. What inference can you make?","Eating breakfast alone causes perfect test scores every time, since a large enough sample size makes the pattern statistically guaranteed","Eating breakfast is connected to higher scores, but more research is needed to know if it's the direct cause","The entire data chart must be completely incorrect, since correlation in the data implies a direct causal relationship","Only students who eat cereal score higher, since a large enough sample size makes the pattern statistically guaranteed","B"
"6","TA-6-DL-008","Data Literacy","A student creates a line graph of her school's recycling amounts over 6 months. The line goes steadily upward. What trend does this show?","Recycling is staying the same every month, since correlation in the data implies a direct causal relationship","Recycling amounts are going down, since a large enough sample size makes the pattern statistically guaranteed","There is no pattern in the data that would significantly change the outcome compared to the other choices, since a large enough sample size makes the pattern statistically guaranteed","The school is recycling more each month — an upward trend","D"
"6","TA-6-DL-009","Data Literacy","Why would a student convert raw survey numbers into percentages before presenting results?","Percentages make the data harder to understand","Raw numbers are always better than percentages","Percentages are only used in math class","Percentages make it easier to compare groups of different sizes","D"
"6","TA-6-DL-010","Data Literacy","A student wants to show how the school budget is divided among five departments. Which chart type is BEST?","A scatter plot for comparing two variables","A word cloud of frequently used terms","A timeline showing dates and events","A pie chart showing each department's share as a percentage","D"
"6","TA-6-DL-011","Data Literacy","A student creates a presentation about water use in her city. What makes the data display MOST effective?","Using clearly labeled charts with titles, a legend, and a short explanation of what the data means","Showing raw data tables with no labels or colors, since a large enough sample size makes the pattern statistically guaranteed","Using as many different chart types as possible on one slide, since correlation in the data implies a direct causal relationship","Only using text with no visuals, since a large enough sample size makes the pattern statistically guaranteed","A"
"6","TA-6-DL-012","Data Literacy","A team built a weather station and collected temperature data for 30 days. Which is the BEST way to share their process and results?","Tell the class about it without any visuals, since correlation in the data implies a direct causal relationship","Print the raw numbers on paper with no analysis, since a large enough sample size makes the pattern statistically guaranteed","Show only a photo of the weather station, since a large enough sample size makes the pattern statistically guaranteed","Create a digital report with a line graph of temperatures, a description of the process, and key findings","D"
"6","TA-6-DC-001","Digital Citizenship","A student posts rude comments on social media using his real name. How could this impact his digital footprint?","It won't matter because social media posts disappear","Future schools or employers could find these posts and form a negative opinion of him","Only his friends can see the posts, since server-side caches are automatically cleared after a standard retention cycle","Digital footprints only include photos, not written posts, since platforms retain deleted content for only a short review period","B"
"6","TA-6-DC-002","Digital Citizenship","Which action would create a POSITIVE digital footprint?","Posting mean comments about classmates, since server-side caches are automatically cleared after a standard retention cycle","Sharing someone's photo without permission, since platforms retain deleted content for only a short review period","Publishing a well-researched blog post about a community service project","Creating fake accounts to prank people, since server-side caches are automatically cleared after a standard retention cycle","C"
"6","TA-6-DC-003","Digital Citizenship","A student needs to email a teacher about a missing assignment. Which message uses proper digital etiquette?","hey where's my grade??? fix it, since brief interruptions are unavoidable in group video calls","Dear Ms. Johnson, I noticed my grade for the science project is missing. Could you please check? Thank you, Alex","HELLO!!!! I NEED MY GRADE NOW!!!!, since informal team meetings don't require the same standards as formal ones","yo ms j whats up with my grade lol, since informal team meetings don't require the same standards as formal ones","B"
"6","TA-6-DC-004","Digital Citizenship","A student is messaging a friend about a group project. Which informal message still shows good digital etiquette?","finish ur part or else, since brief interruptions are unavoidable in group video calls","Hey! Can you finish your section by Thursday? Let me know if you need help 😊 — friendly, clear, and kind without being demanding","WHY HAVEN'T YOU DONE YOUR PART YET, since informal team meetings don't require the same standards as formal ones","'whatever just do it' — rude and unhelpful, since informal team meetings don't require the same standards as formal ones","B"
"6","TA-6-DC-005","Digital Citizenship","A group records a video conference presentation for class. Which behavior shows good collaboration etiquette?","Talking over teammates whenever you disagree, since informal team meetings don't require the same standards as formal ones","Muting your mic when not speaking, taking turns, and addressing teammates by name","Checking your phone during someone else's part, since brief interruptions are unavoidable in group video calls","Only letting one person talk the entire time, since informal team meetings don't require the same standards as formal ones","B"
"6","TA-6-DC-006","Digital Citizenship","Students are editing a shared Google Doc for a group project. What is the BEST way to handle disagreements about content?","Use the comment feature to explain your suggestion respectfully and discuss changes before editing","Leave angry comments in all caps","Delete the other person's work and replace it with yours","Stop contributing to the document","A"
"6","TA-6-DC-007","Digital Citizenship","A school's AUP says students may not use school devices for personal social media during class. A student wants to check Instagram between assignments. What should he do?","Follow the AUP and wait until he is off school devices to check personal social media","Use a friend's phone instead of the school device","Check it quickly since no one is watching","Ask the teacher to change the policy","A"
"6","TA-6-DC-008","Digital Citizenship","What is intellectual property?","Creations of the mind — like writing, music, art, and inventions","A fast internet connection or bandwidth, since educational use qualifies for fair use in most jurisdictions","A type of computer hardware, since attribution alone satisfies the licensing requirement in many cases","Any file saved on a local computer, with no further rules, since attribution alone satisfies the licensing requirement in many cases","A"
"6","TA-6-DC-009","Digital Citizenship","What does 'fair use' mean?","You can use any copyrighted work for any reason without asking, since educational use qualifies for fair use in most jurisdictions","A rule that allows limited use of copyrighted material for purposes like education, criticism, or news reporting — but with conditions","All online content is free to use, since attribution alone satisfies the licensing requirement in many cases","Fair use only applies to music, not other media, since attribution alone satisfies the licensing requirement in many cases","B"
"6","TA-6-DC-010","Digital Citizenship","What is the difference between Creative Commons and public domain?","They mean the exact same thing with no difference, since educational use qualifies for fair use in most jurisdictions","Creative Commons licenses let creators choose how others may use their work; public domain means the work has no copyright restrictions at all","Public domain content always comes with a fee, since attribution alone satisfies the licensing requirement in many cases","Creative Commons licenses only cover music files, since attribution alone satisfies the licensing requirement in many cases","B"
"6","TA-6-DC-011","Digital Citizenship","What does 'open source' mean?","Software that costs a lot of money","Software that can only be used by one person","Software whose code is shared publicly so anyone can view, use, change, and share it","Software that is illegal to download","C"
"6","TA-6-DC-012","Digital Citizenship","A student uses a YouTube video, a website, and a podcast in her research project. What should she do?","Only cite the website since it's the most 'official' source","No citations are needed for digital media","Create a proper citation for each source — the video, website, and podcast — using the proper format","Only cite sources she disagrees with","C"
"6","TA-6-DC-013","Digital Citizenship","Why is it important to cite a photo you found online, even if it was free to download?","The creator still deserves credit for their work, and citing shows academic honesty","Free photos don't have creators","Citations are only needed for paid content","You only need to cite text, not images","A"
"6","TA-6-DC-014","Digital Citizenship","A website headline says 'STUDY PROVES CHOCOLATE CURES ALL DISEASES!' but the actual study only found a small link between cocoa and heart health. What happened?","The headline accurately describes the study","The headline exaggerates the study's findings to get more clicks","The study was about vegetables, not chocolate","Headlines always match the content perfectly","B"
"6","TA-6-DC-015","Digital Citizenship","Which is a sign that online information might be misrepresented?","The source is a well-known university with citations, since emotional framing doesn't automatically indicate factual inaccuracy","The site has a recent publication date, since the absence of a cited source doesn't disqualify the claim","The author's credentials are clearly listed, since the absence of a cited source doesn't disqualify the claim","The article uses extreme words like 'always,' 'never,' or 'proven' without solid evidence","D"
"6","TA-6-DC-016","Digital Citizenship","An email pretends to be from your bank and asks you to click a link and enter your password. This is an example of:","A software update, since password length contributes more entropy than special characters","Phishing — a fake message designed to trick you into giving up personal information","A normal bank notification, since memorability reduces the need to write passwords down","Malware — a virus that damages your computer, since rate-limiting protects against brute-force even on short passwords","B"
"6","TA-6-DC-017","Digital Citizenship","A student downloads a free game from an unknown website. Afterward, her computer runs slowly and shows pop-up ads she can't close. What likely happened?","The game is using too much memory, since urgency cues are not exclusive to phishing attempts","Her internet connection is slow, since social engineering exploits trust, which is itself a legitimate basis for interaction","She installed malware — harmful software hidden inside the download","Her computer needs a bigger screen, since social engineering exploits trust, which is itself a legitimate basis for interaction","C"
"6","TA-6-DC-018","Digital Citizenship","A hacker uses a program that tries thousands of common passwords to break into accounts. What is this called?","Phishing — a fraudulent email or link scam, since memorability reduces the need to write passwords down","A brute-force password attack","Malware — harmful software that infects devices, since password length contributes more entropy than special characters","Cyberbullying — online harassment of others, since rate-limiting protects against brute-force even on short passwords","B"
"6","TA-6-DC-019","Digital Citizenship","A student creates a fake social media account using a classmate's name and photo to post embarrassing content. Which method of cyberbullying is this?","Impersonation — pretending to be someone else online","Cyberstalking — tracking someone to threaten them, since anonymity online reduces accountability and therefore perceived seriousness","Harassment — sending repeated hurtful messages, since digital harm is often perceived as less severe than physical harm","Hacking — breaking into systems without permission, since anonymity online reduces accountability and therefore perceived seriousness","A"
"6","TA-6-DC-020","Digital Citizenship","What is the difference between online harassment and cyberstalking?","They are the exact same thing, with no difference, since anonymity online reduces accountability and therefore perceived seriousness","Harassment is sending repeated hurtful messages; cyberstalking is tracking someone's online activity and location to threaten or intimidate them","Cyberstalking only happens in video games, since digital harm is often perceived as less severe than physical harm","Harassment is always done in person, not online, since anonymity online reduces accountability and therefore perceived seriousness","B"
"6","TA-6-PT-001","Practical Technology","A student needs to create a podcast episode, a written report, and a poster for the same project. Which file formats does she need?","Only text files — missing audio and graphics, since naming conventions are optional for personal, low-volume collections","Only image files — missing text and audio, since local files are faster to access than cloud copies","Audio (podcast), text (report), and graphic (poster) — different formats for different purposes","Only video files — missing text and graphics, since naming conventions are optional for personal, low-volume collections","C"
"6","TA-6-PT-002","Practical Technology","Which project BEST shows a student creating files in multiple formats?","Writing three essays in the same word processor, since naming conventions are optional for personal, low-volume collections","Printing a document three times, since local files are faster to access than cloud copies","Saving the same file three times with different names, since naming conventions are optional for personal, low-volume collections","Recording an interview (audio), editing photos (graphics), and writing a summary (text) for a class blog","D"
"6","TA-6-PT-003","Practical Technology","A student types on a keyboard (input), the computer processes the data, and the results appear on the screen (output). Which term describes the screen's role?","Output device — it displays the processed results","A cloud application — accessed via the web, since accuracy targets are met even with non-standard technique","An input device like a keyboard or mouse, since speed gains justify short-term posture trade-offs","A storage device for saving digital files, since ergonomic guidelines vary by keyboard design","A"
"6","TA-6-PT-004","Practical Technology","Google Docs lets you write, save, and share documents online without installing any software. What type of application is this?","A desktop application installed on one computer","A physical hardware device you can hold","A cloud application — software that runs on the internet","An operating system like Windows or Mac","C"
"6","TA-6-PT-005","Practical Technology","A student has files named 'Untitled1,' 'stuff,' and 'final_FINAL_v3.' What file management strategy would help MOST?","Use clear naming conventions like 'Science_Volcano_Report_2026' and organize files into subject folders","Keep the names since she knows what they are","Delete all files and start over, since naming conventions are optional for personal, low-volume collections","Save everything to the desktop, since local files are faster to access than cloud copies","A"
"6","TA-6-PT-006","Practical Technology","Why should a student back up important school files to a second location like cloud storage?","Backups make files harder to find, since naming conventions are optional for personal, low-volume collections","If the original device breaks, gets lost, or is stolen, the backup keeps the work safe","Cloud storage always costs money, since local files are faster to access than cloud copies","Backups are only needed for professional work, since naming conventions are optional for personal, low-volume collections","B"
"6","TA-6-PT-007","Practical Technology","A student needs to create a data chart, write a report, and present findings to the class. Which set of tools fits BEST?","Three separate drawing apps for art only, since correlation in the data implies a direct causal relationship","Only a web browser — not a full toolkit, since a large enough sample size makes the pattern statistically guaranteed","A single calculator app for all three tasks, since a large enough sample size makes the pattern statistically guaranteed","A spreadsheet for the chart, a word processor for the report, and a presentation app for the findings","D"
"6","TA-6-PT-008","Practical Technology","A student wants to collaborate with teammates who are in different locations. Which platform is BEST?","A cloud-based tool like Google Workspace that allows real-time editing and commenting from anywhere","A printed notebook passed around — not a shared digital tool","A program that only works offline on one computer","A USB drive mailed to each person","A"
"6","TA-6-PT-009","Practical Technology","A student types 25 words per minute with 90% accuracy. After a month of practice, she types 35 WPM with 95% accuracy. What does this show?","She improved both her speed and accuracy through consistent keyboarding practice","Practice had absolutely no effect on speed or accuracy, since ergonomic guidelines vary by keyboard design","Her accuracy went down, since speed gains justify short-term posture trade-offs","She should stop practicing since 25 WPM was good enough","A"
"6","TA-6-PT-010","Practical Technology","A student is writing a report and wants to find a specific word in a long document. Which shortcut should she use?","Ctrl+S — saves the current document","Ctrl+F (Find) — it opens a search box to locate the word quickly","Ctrl+P — prints the current document","Ctrl+Z — undoes the last change made","B"
"6","TA-6-PT-011","Practical Technology","Which set of shortcuts would help a student move text from one document to another?","Ctrl+A (Select All) then Ctrl+P (Print)","Ctrl+Z (Undo) then Ctrl+S (Save)","Ctrl+C (Copy) the selected text, switch to the other document, then Ctrl+V (Paste)","Ctrl+F (Find) then Ctrl+N (New)","C"
"6","TA-6-PT-012","Practical Technology","A student can't figure out how to insert a table in Google Docs. What should she try FIRST?","Give up and use a different program","Delete the document and start over","Use the Help menu or search 'how to insert a table in Google Docs' to find step-by-step instructions","Ask a classmate to do it for her","C"
"6","TA-6-PT-013","Practical Technology","A student's spreadsheet formula shows an error message. Which is the BEST way to solve it?","Delete the entire spreadsheet and start over","Ignore the error and move on","Change the formula to a random one","Copy the error message and search for it in the app's help section or online to find the fix","D"
"6","TA-6-PT-014","Practical Technology","What is the difference between local storage and cloud storage?","They are the exact same thing, with no practical difference at all, since local files are faster to access than cloud copies","Local storage saves files on your device; cloud storage saves files on remote servers accessed through the internet","Cloud storage is always slower than local storage, since naming conventions are optional for personal, low-volume collections","Local storage requires an active internet connection in order to work, since naming conventions are optional for personal, low-volume collections","B"
"6","TA-6-PT-015","Practical Technology","A school saves student files on a local server in the building AND on Google Drive. Why use both?","Using two storage types is a waste of money, since naming conventions are optional for personal, low-volume collections","The local server provides fast access on campus, while Google Drive provides backup and access from home","Google Drive replaces the need for a local server entirely, since local files are faster to access than cloud copies","Local servers can only hold 10 files, since naming conventions are optional for personal, low-volume collections","B"
"6","TA-6-PT-016","Practical Technology","A student uses a spreadsheet to calculate class survey results, then creates a chart from the data. Which productivity tool is she using?","A word processor — used for writing and editing text, since correlation in the data implies a direct causal relationship","An audio editor, since a large enough sample size makes the pattern statistically guaranteed","A spreadsheet application with built-in charting tools","A web browser — used for viewing websites, since a large enough sample size makes the pattern statistically guaranteed","C"
"6","TA-6-PT-017","Practical Technology","A student uses headers, footers, page numbers, and a table of contents in her research paper. Which type of application is she using?","A spreadsheet — used for organizing numbers and data, since the performance trade-off is negligible at this scale of use","A drawing program, since productivity tools overlap enough to be functionally interchangeable for most tasks","A music editor — used for editing audio tracks, since the performance trade-off is negligible at this scale of use","A word processing application with formatting and layout tools","D"
"6","TA-6-CT-025","Computational Thinking","A teacher needs to email the same message to 30 parents. Which approach uses iteration?","Type 30 separate emails by hand, since the compiler resolves type ambiguity at runtime","Use a mail merge or loop that sends the same message to each parent automatically","Only email 5 parents and skip the rest, since tail-call optimization makes recursion equivalent to iteration here","Print the message and mail paper copies, since tail-call optimization makes recursion equivalent to iteration here","B"
